"1","1","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ","اللہ کے نام سے جو رحمان و رحیم ہے","In the name of Allah, the Merciful, the Compassionate"
"760","5","91","إِنَّمَا يُرِيدُ الشَّيْطَانُ أَن يُوقِعَ بَيْنَكُمُ الْعَدَاوَةَ وَالْبَغْضَاءَ فِي الْخَمْرِ وَالْمَيْسِرِ وَيَصُدَّكُمْ عَن ذِكْرِ اللَّهِ وَعَنِ الصَّلَاةِ ۖ فَهَلْ أَنتُم مُّنتَهُونَ","شیطان تو یہ چاہتا ہے کہ شراب اور جوئے کے ذریعہ سے تمہارے درمیان عداوت اور بغض ڈال دے اور تمہیں خدا کی یاد سے اور نماز سے روک دے پھر کیا تم ان چیزوں سے باز رہو گے؟","By intoxicants and games of chance Satan only desires to create enmity and hatred between you, and to turn you away from the remembrance of Allah and from Prayer. Will you, then, desist?"
"761","5","92","وَأَطِيعُوا اللَّهَ وَأَطِيعُوا الرَّسُولَ وَاحْذَرُوا ۚ فَإِن تَوَلَّيْتُمْ فَاعْلَمُوا أَنَّمَا عَلَىٰ رَسُولِنَا الْبَلَاغُ الْمُبِينُ","اللہ اور اُس کے رسول کی بات مانو اور باز آ جاؤ، لیکن اگر تم نے حکم عدولی کی تو جان لو کہ ہمارے رسول پر بس صاف صاف حکم پہنچا دینے کی ذمہ داری تھی","Obey Allah and obey the Messenger, and beware. But if you turn away, then know well that Our Messenger had merely to deliver the message clearly."
"762","5","93","لَيْسَ عَلَى الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ جُنَاحٌ فِيمَا طَعِمُوا إِذَا مَا اتَّقَوا وَّآمَنُوا وَعَمِلُوا الصَّالِحَاتِ ثُمَّ اتَّقَوا وَّآمَنُوا ثُمَّ اتَّقَوا وَّأَحْسَنُوا ۗ وَاللَّهُ يُحِبُّ الْمُحْسِنِينَ","جو لوگ ایمان لے آئے اور نیک عمل کرنے لگے انہوں نے پہلے جو کچھ کھایا پیا تھا اس پر کوئی گرفت نہ ہوگی بشرطیکہ وہ آئندہ اُن چیزوں سے بچے رہیں جو حرام کی گئی ہیں اور ایمان پر ثابت قدم رہیں اور اچھے کام کریں، پھر جس جس چیز سے روکا جائے اس سے رکیں اور جو فرمان الٰہی ہو اُسے مانیں، پھر خدا ترسی کے ساتھ نیک رویہ رکھیں اللہ نیک کردار لوگوں کو پسند کرتا ہے","There will be no blame on those who believe and do righteous deeds for whatever they might have partaken (in the past) as long as they refrain from things prohibited, and persist in their belief and do righteous deeds, and continue to refrain from whatever is forbidden and submit to divine commandments, and persevere in doing good, fearing Allah. Allah loves those who do good."
"763","5","94","يَا أَيُّهَا الَّذِينَ آمَنُوا لَيَبْلُوَنَّكُمُ اللَّهُ بِشَيْءٍ مِّنَ الصَّيْدِ تَنَالُهُ أَيْدِيكُمْ وَرِمَاحُكُمْ لِيَعْلَمَ اللَّهُ مَن يَخَافُهُ بِالْغَيْبِ ۚ فَمَنِ اعْتَدَىٰ بَعْدَ ذَٰلِكَ فَلَهُ عَذَابٌ أَلِيمٌ","اے لوگو جو ایمان لائے ہو، اللہ تمہیں اُس شکار کے ذریعہ سے سخت آزمائش میں ڈالے گا جو بالکل تمہارے ہاتھوں اور نیزوں کی زد میں ہوگا، یہ دیکھنے کے لیے کہ تم میں سے کون اس سے غائبانہ ڈرتا ہے، پھر جس نے اس تنبیہ کے بعد اللہ کی مقرر کی ہوئی حد سے تجاوز کیا اُس کے لیے درد ناک سزا ہے","Believers! Allah will surely try you with a game which will be within the range of your hands and lances so that He might mark out those who fear Him, even though He is beyond the reach of human perception. A painful chastisement awaits whosoever transgresses after that the bounds set by Allah."
"764","5","95","يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَقْتُلُوا الصَّيْدَ وَأَنتُمْ حُرُمٌ ۚ وَمَن قَتَلَهُ مِنكُم مُّتَعَمِّدًا فَجَزَاءٌ مِّثْلُ مَا قَتَلَ مِنَ النَّعَمِ يَحْكُمُ بِهِ ذَوَا عَدْلٍ مِّنكُمْ هَدْيًا بَالِغَ الْكَعْبَةِ أَوْ كَفَّارَةٌ طَعَامُ مَسَاكِينَ أَوْ عَدْلُ ذَٰلِكَ صِيَامًا لِّيَذُوقَ وَبَالَ أَمْرِهِ ۗ عَفَا اللَّهُ عَمَّا سَلَفَ ۚ وَمَنْ عَادَ فَيَنتَقِمُ اللَّهُ مِنْهُ ۗ وَاللَّهُ عَزِيزٌ ذُو انتِقَامٍ","اے لوگو جو ایمان لائے ہو! احرام کی حالت میں شکار نہ مارو، اور اگر تم میں سے کوئی جان بوجھ کر ایسا کر گزرے تو جو جانور اس نے مارا ہو اُسی کے ہم پلہ ایک جانور اُسے مویشیوں میں سے نذر دینا ہوگا جس کا فیصلہ تم میں سے دو عادل آدمی کریں گے، اور یہ نذرانہ کعبہ پہنچایا جائے گا، یا نہیں تو اِس گناہ کے کفارہ میں چند مسکینوں کو کھانا کھلانا ہوگا، یااس کے بقدر روزے رکھنے ہوں گے، تاکہ وہ اپنے کیے کا مزہ چکھے پہلے جو ہو چکا اُسے اللہ نے معاف کر دیا، لیکن اب اگر کسی نے اس حرکت کا اعادہ کیا تو اس سے اللہ بدلہ لے گا، اللہ سب پر غالب ہے اور بدلہ لینے کی طاقت رکھتا ہے","Believers! Do not kill game while you are in the state of pilgrim sanctity. Whoever of you kills it wilfully there shall be a recompense, the like of what he has killed in cattle - as shall be judged by two men of equity among you - to be brought to the Ka'bah as an offering, or as an expiation the feeding of the needy, or its equivalent in fasting in order that he may taste the grievousness of his deed. Allah has pardoned whatever has passed; but Allah will exact a penalty from him who repeats it. Allah is All-Mighty. He is fully capable of exacting penalties."
"765","5","96","أُحِلَّ لَكُمْ صَيْدُ الْبَحْرِ وَطَعَامُهُ مَتَاعًا لَّكُمْ وَلِلسَّيَّارَةِ ۖ وَحُرِّمَ عَلَيْكُمْ صَيْدُ الْبَرِّ مَا دُمْتُمْ حُرُمًا ۗ وَاتَّقُوا اللَّهَ الَّذِي إِلَيْهِ تُحْشَرُونَ","تمہارے لیے سمندر کا شکار اور اس کا کھانا حلال کر دیا گیا، جہاں تم ٹھیرو وہاں بھی اُسے کھا سکتے ہو اور قافلے کے لیے زاد راہ بھی بناسکتے ہو البتہ خشکی کا شکار جب تک احرام کی حالت میں ہو، تم پر حرام کیا گیا ہے پس بچو اُس خدا کی نافرمانی سے جس کی پیشی میں تم سب کو گھیر کر حاضر کیا جائے گا","The game of the water and eating thereof are permitted to you as a provision for you (who are settled) and for those on a journey; but to hunt on land while you are in the state of Pilgrim sanctity is forbidden for you. Beware, then, of disobeying Allah to Whom you shall all be mustered."
"766","5","97","۞ جَعَلَ اللَّهُ الْكَعْبَةَ الْبَيْتَ الْحَرَامَ قِيَامًا لِّلنَّاسِ وَالشَّهْرَ الْحَرَامَ وَالْهَدْيَ وَالْقَلَائِدَ ۚ ذَٰلِكَ لِتَعْلَمُوا أَنَّ اللَّهَ يَعْلَمُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ وَأَنَّ اللَّهَ بِكُلِّ شَيْءٍ عَلِيمٌ","اللہ نے مکان محترم، کعبہ کو لوگوں کے لیے (اجتماعی زندگی کے) قیام کا ذریعہ بنایا اور ماہ حرام اور قربانی کے جانوروں اور قلادوں کو بھی (اِس کام میں معاون بنا دیا) تاکہ تمہیں معلوم ہو جائے کہ اللہ آسمانوں او ر زمین کے سب حالات سے باخبر ہے اور اُسے ہر چیز کا علم ہے","Allah has appointed the Ka'bah, the Sacred House, as a means of support for (the collective life of) men, and has caused the holy month (of Pilgrimage), and the animals of sacrificial of-fering and their distinguishing collars to assist therein. This is so that you may know that Allah is aware of all that is in the heavens and all that is in the earth; and that Allah has knowledge of everything."
"767","5","98","اعْلَمُوا أَنَّ اللَّهَ شَدِيدُ الْعِقَابِ وَأَنَّ اللَّهَ غَفُورٌ رَّحِيمٌ","خبردار ہو جاؤ! اللہ سزا دینے میں بھی سخت ہے اور اس کے ساتھ بہت درگزر اور رحم بھی کرنے والا ہے","Know well that Allah is severe in retribution, and that Allah is also All-Forgiving, All-Compassionate."
"768","5","99","مَّا عَلَى الرَّسُولِ إِلَّا الْبَلَاغُ ۗ وَاللَّهُ يَعْلَمُ مَا تُبْدُونَ وَمَا تَكْتُمُونَ","رسول پر تو صرف پیغام پہنچا دینے کی ذمہ داری ہے، آگے تمہارے کھلے اور چھپے سب حالات کا جاننے والا اللہ ہے","The Messenger is bound only to deliver the message, whereafter Allah knows well all that you disclose and all that you conceal."
"769","5","100","قُل لَّا يَسْتَوِي الْخَبِيثُ وَالطَّيِّبُ وَلَوْ أَعْجَبَكَ كَثْرَةُ الْخَبِيثِ ۚ فَاتَّقُوا اللَّهَ يَا أُولِي الْأَلْبَابِ لَعَلَّكُمْ تُفْلِحُونَ","اے پیغمبرؐ! اِن سے کہہ دو کہ پاک اور ناپاک بہر حال یکساں نہیں ہیں خواہ ناپاک کی بہتا ت تمہیں کتنا ہی فریفتہ کرنے والی ہو، پس اے لوگو جو عقل رکھتے ہو! اللہ کی نافرمانی سے بچتے رہو، امید ہے کہ تمہیں فلاح نصیب ہوگی","(O Messenger!) Say to them: ""The bad things and the good things are not equal, even though the abundance of the bad things might make you pleased with them. Men of understanding, beware of disobeying Allah; then maybe you will attain true success.'"
"770","5","101","يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَسْأَلُوا عَنْ أَشْيَاءَ إِن تُبْدَ لَكُمْ تَسُؤْكُمْ وَإِن تَسْأَلُوا عَنْهَا حِينَ يُنَزَّلُ الْقُرْآنُ تُبْدَ لَكُمْ عَفَا اللَّهُ عَنْهَا ۗ وَاللَّهُ غَفُورٌ حَلِيمٌ","اے لوگو جو ایمان لائے ہو، ایسی باتیں نہ پوچھا کرو جو تم پر ظاہر کر دی جائیں تو تمہیں ناگوار ہوں، لیکن اگر تم انہیں ایسے وقت پوچھو گے جب کہ قرآن نازل ہو رہا ہو تو وہ تم پر کھول دی جائیں گی اب تک جو کچھ تم نے کیا اُسے اللہ نے معاف کر دیا، وہ درگزر کرنے والا اور برد بار ہے","Believers! Do not ask of the things which, if made manifest to you, would vex you; for, if you should ask about them while the Qur'an is being revealed, they will be made manifest to you. Allah has pardoned whatever happened in the past. He is All-Forgiving, All-Forbearing."
"771","5","102","قَدْ سَأَلَهَا قَوْمٌ مِّن قَبْلِكُمْ ثُمَّ أَصْبَحُوا بِهَا كَافِرِينَ","تم سے پہلے ایک گروہ نے اِسی قسم کے سوالات کیے تھے، پھر وہ لوگ انہی باتوں کی وجہ سے کفر میں مبتلا ہوگئے","Indeed some people before you had asked such questions and in consequence fell into unbelief."
"772","5","103","مَا جَعَلَ اللَّهُ مِن بَحِيرَةٍ وَلَا سَائِبَةٍ وَلَا وَصِيلَةٍ وَلَا حَامٍ ۙ وَلَـٰكِنَّ الَّذِينَ كَفَرُوا يَفْتَرُونَ عَلَى اللَّهِ الْكَذِبَ ۖ وَأَكْثَرُهُمْ لَا يَعْقِلُونَ","اللہ نے نہ کوئی بَحِیرہ مقرر کیا ہے نہ سائبہ اور نہ وصیلہ اور نہ حام مگر یہ کافر اللہ پر جھوٹی تہمت لگاتے ہیں اور ان میں سے اکثر بے عقل ہیں (کہ ایسے وہمیات کو مان رہے ہیں)","Allah has neither appointed (cattle devoted to idols such as) Bahirah, Sa'ibah, Wasilah nor Ham; but those who disbelieve forge lies against Allah and of them most have no understanding (and therefore succumb to such superstitions)."
